signe_livre	occurrences	region	candidat_hpo	label_hpo	portee_proposee	definition_hpo	commentaire_hpo	decision	motif
owl’s eye nuclei								NON	infections 2026-09-17 — inclusion cytomégalique — canal FOETO
owl's eye cells								NON	infections 2026-09-17 — inclusion cytomégalique — canal FOETO
multinucleated giant cells								NON	infections 2026-09-17 — histologie — canal FOETO
destructive lesions								NON	infections 2026-09-17 — trop général
necrotic lesions								NON	infections 2026-09-17 — histologie — canal FOETO
adrenal necrosis								NON	infections 2026-09-17 — histologie — canal FOETO
lung necrosis								NON	infections 2026-09-17 — histologie — canal FOETO
meningeal fibrosis								NON	infections 2026-09-17 — histologie — canal FOETO
erythroblastosis								NON	infections 2026-09-17 — pas de terme HPO (érythroblastose fœtale)
mucocutaneous lesions								NON	infections 2026-09-17 — trop général
condylomata lata								NON	infections 2026-09-17 — pas de terme HPO
palsies								NON	infections 2026-09-17 — trop général
dental findings								NON	infections 2026-09-17 — catégorie
ophthalmic findings								NON	infections 2026-09-17 — catégorie
cns findings								NON	infections 2026-09-17 — catégorie
musculoskeletal findings								NON	infections 2026-09-17 — catégorie
abnormalities on imaging								NON	infections 2026-09-17 — pas un signe
malformation								NON	infections 2026-09-17 — trop général
